club_name,year,price_full_7day_adult,price_under_12,price_junior_12_18,price_colt_21,price_intermediate_25,price_intermediate_28,price_intermediate_31_35,price_student,price_5day_adult,price_country_member,total_historic_revenue,total_member_count
Denton Golf Club,2027,"£1,385.00",105,210,480,710,950,1200,480,970,520,288000,360
Ashton-under-Lyne Golf Club,2026,"£1,270.00",90,185,440,650,870,1090,440,880,480,250000,345
Ashton-under-Lyne Golf Club,2027,"£1,320.00",95,195,460,680,910,1140,460,920,500,262000,350
Werneth Low Golf Club,2026,"£1,110.00",70,150,380,560,750,950,380,770,410,200000,320
Werneth Low Golf Club,2027,"£1,155.00",75,160,400,585,785,995,400,805,430,210000,325
Hyde Golf Club,2026,"£1,160.00",75,160,390,590,790,1000,390,810,430,215000,325
Hyde Golf Club,2027,"£1,210.00",80,170,410,615,825,1045,410,845,450,225000,330
Reddish Vale Golf Club,2026,"£1,360.00",105,210,470,690,930,1170,470,950,510,285000,360
Reddish Vale Golf Club,2027,"£1,415.00",110,220,490,720,970,1220,490,990,530,298000,365
Houldsworth Golf Club,2026,"£1,200.00",80,170,410,610,820,1040,410,830,450,230000,335
Houldsworth Golf Club,2027,"£1,250.00",85,180,430,635,860,1090,430,865,470,241000,340
Swinton Park Golf Club,2026,"£1,390.00",105,210,470,700,940,1190,470,960,520,290000,365
Swinton Park Golf Club,2027,"£1,445.00",110,220,490,730,980,1240,490,1000,540,303000,370
Worsley Golf Club,2026,"£1,420.00",110,220,480,720,970,1230,480,990,540,310000,370
Worsley Golf Club,2027,"£1,480.00",115,230,500,750,1010,1280,500,1030,560,325000,375
Worsley Park Golf Club,2026,"£1,550.00",125,250,540,800,1080,1360,540,1090,610,360000,390
Worsley Park Golf Club,2027,"£1,615.00",130,260,560,835,1125,1415,560,1135,635,377000,395
Ellesmere Golf Club,2026,"£1,310.00",95,190,450,670,900,1140,450,910,490,265000,355
Ellesmere Golf Club,2027,"£1,365.00",100,200,470,700,940,1190,470,950,510,278000,360
Regent Park Golf Club,2026,"£1,080.00",65,145,370,550,740,930,370,750,400,190000,315
Regent Park Golf Club,2027,"£1,125.00",70,150,385,575,775,975,385,785,420,199000,320
Deane Golf Club,2026,"£1,220.00",85,175,420,620,840,1060,420,850,450,235000,340
Deane Golf Club,2027,"£1,270.00",90,185,440,650,880,1110,440,885,470,246000,345
Great Lever & Farnworth Golf Club,2026,"£1,180.00",80,165,400,600,800,1020,400,820,440,220000,330
Great Lever & Farnworth Golf Club,2027,"£1,230.00",85,175,420,625,835,1065,420,855,460,231000,335
Dunscar Golf Club,2026,"£1,320.00",100,200,460,680,910,1150,460,930,500,275000,355
Dunscar Golf Club,2027,"£1,375.00",105,210,480,710,950,1200,480,970,520,288000,360
Turton Golf Club,2026,"£1,250.00",90,180,430,640,860,1090,430,870,470,248000,345
Turton Golf Club,2027,"£1,300.00",95,190,450,670,900,1140,450,905,490,259000,350
Harwood Golf Club,2026,"£1,210.00",85,175,410,620,830,1050,410,840,450,230000,335
Harwood Golf Club,2027,"£1,260.00",90,185,430,650,870,1100,430,875,470,241000,340
Horwich Golf Club,2026,"£1,050.00",65,140,360,540,720,910,360,730,390,180000,305
Horwich Golf Club,2027,"£1,090.00",70,145,375,560,750,950,375,760,405,189000,310
Westhoughton Golf Club,2026,"£1,160.00",75,160,390,590,790,1000,390,810,430,215000,325
